field_cluster_name;field_cluster_id;01/01/2025;01/02/2025;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025
Bạch Hổ (ẩm);BH;12,927;10,316;8,09;8,004447574;14,18482533;12,84359751;13,28352024;7,070953018;5,300532308;6,180377751;10,47230675;13,32643953
Tê Giác Trắng;TGT;5,047477905;4,2;5,98;2,486291941;2,36714057;2,247989199;2,232102349;2,128837828;1,390099328;2,359197145;2,120894403;1,969969333
Rạng Đông;RangDong;7,589764392;2,833298719;3,9;1,766534781;5,686033827;0,165612636;0;15,87121092;15,15355617;15,89881303;15,34677091;15,78840461
Chim Sáo;CS;7,227359403;6,871082826;6,94;6,417437185;10,58877135;3,850462311;10,90964321;14,11836181;13,79748995;13,15574623;12,51400251;10,90964321
Sư Tử Đen/Vàng/Trắng;STD-STV-STT;20,21822847;14,24;35,34;40,48747922;41,88821293;40,48747922;41,88821293;41,88821293;40,48747922;41,88821293;40,48747922;41,88821293
Cá Ngừ Vàng;CNV;5,014630363;2,94;5,28;2,407792448;2,229437452;1,070129977;1,783549961;2,140259954;1,872727459;1,605194965;1,872727459;1,783549961
Lan Tây/Lan Đỏ;LTLD;11,60079;10,8;8,41;0;0;0;0;0;0;0;0;0
Rồng Đôi/RĐT;RD-RDT;30,32647;27,8;26,94;22,76403458;23,63215454;22,18528794;23,0534079;7,330790797;11,96076393;22,66757681;23,24632345;24,69319005
Lô PM3-CA/46-CN;PM3CA-46CN;144,2;152,6058415;173,03;172,6145175;162,6520582;172,0254586;168,7985201;87,33166907;172,0254586;173,4852203;174,6633381;181,9879179
HST-HSD;HST-HSD;1,038945101;0,719247903;0,7;5,243873163;5,035782958;4,744456671;4,411512344;4,120186057;2,746790705;3,41267936;2,99649895;2,830026786
HT-MT;HT-MT;68,59424;70,49;90,69;95,95574111;89,86689267;81,86118454;107,4568993;99,78946049;88,51381524;92,79856043;87,04798136;86,9352249
Thái Bình;TB;8,941156298;8,6;11,31;15,68320486;15,68320486;15,68320486;15,68320486;15,68320486;15,68320486;15,68320486;15,68320486;15,68320486
Đại Hùng;DH;7,001313;9,325;8,99;4,526357241;4,819026243;9,292323908;9,914717827;8,329230558;10,36219674;10,098174;0;10,34166049
Thiên Ưng;ThienUng;11,70382;13,901;14,45;13,02692267;10,98792607;15,06591926;17,21819344;15,6323072;8,382541541;16,19869514;7,476320834;20,95635385
Cá Tầm;CT;0,593;0,364;0,44;1,734361702;1,734361702;1,618737589;1,849985816;1,965609929;1,849985816;1,849985816;1,849985816;1,849985816
SV - ĐN;SVDN;116,059834;103,0125;144,39;155,150954;159,8524981;155,150954;159,8524981;159,8524981;82,27702107;159,8524981;156,32634;161,0278841
KIMH NGƯ TRANG -NAM;KNT-N;0;0;0;0;0;0;0,223545424;1,680163321;2,407961892;2,829533855;3,332766247;4,526029262
