field_cluster_name;field_cluster_id;01/01/2025;01/02/2025;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025
Bạch Hổ & Rồng;BHR;0,234757;0,219217;0,24212;0,254629079;0,259795791;0,254853718;0,241480909;0,237291676;0,208922331;0,236583155;0,223879139;0,236470201
Đồi Mồi;DM;0,003224;0,00314;0,00343;0,003616579;0,003416775;0,003557277;0,003685839;0,003415577;0,003655106;0,003746916;0,003597836;0,003538096
Dinh Cố (cond.);DC;0,003868393;0,00369;0,00473;0,003624346;0,003633712;0,003933399;0,003608782;0,004418312;0,002688174;0,003559259;0,003891366;0,003354258
Đại Hùng;DH;0,027554405;0,03056;0,03015;0,018896787;0,015047442;0,053540897;0,044496021;0,047149453;0,044241582;0,045023184;0,049026792;0,041424666
Lô PM3-CA/46-CN;PM3CA-46CN;0;0;0;0;0;0;0;0;0;0;0;0
Lô PM3-CA (50%);PM3CA;0,036624;0,03306;0,03727;0,03434272;0,03863556;0,037204613;0,042697623;0,020612646;0,033863632;0,042697623;0,039752959;0,041225291
Lô 46-CN;46CN;0,001568267;0,00115;0,00146;0,001430947;0,001430947;0,001430947;0,001729779;0,001729779;0;0,001729779;0,001729779;0,001729779
Rạng Đông/PĐông;RDPD;0,036366039;0,03333;0,0359;0,037146524;0,038707689;0,037430372;0,031408636;0,034696566;0,033052601;0,035639511;0,033813339;0,034672311
RuBy/Pearl/Topaz;RPT;0,032036962;0,02879;0,03222;0,03222622;0,032831983;0,032609033;0,025785597;0,021076894;0,022539656;0,024251426;0,023053055;0,023579174
Sư Tử Đen/Vàng/Trắng/Nâu;STD-STV-STT-STN;0,099605796;0,09863;0,11341;0,109181637;0,114853412;0,109181637;0,111221634;0,109777197;0,105443887;0,111221634;0,106888324;0,109777197
Cá Ngừ Vàng;CNV;0,011677692;0,01002;0,0108;0,011985433;0,011733518;0,007656786;0,010237013;0,012316234;0,010846596;0,011034917;0,011331031;0,011414966
Tê Giác Trắng;TGT;0,043831338;0,03822;0,04146;0,042711174;0,042625297;0,041096882;0,03683417;0,035948417;0,024985647;0,038953634;0,036546606;0,03630818
Kinh ngư trắng -Nam;KNT-N;0;0;0;0;0;0;0,01082942;0,02525045;0,02780794;0,03028406;0,03263452;0,03922343
Chim Sáo;CS;0,035092549;0,0301;0,03206;0,023304801;0,033292573;0,014981658;0,026333476;0,025647841;0,025635144;0,024338531;0,02207238;0,023899217
Lan Tây/Lan Đỏ(cond.);LTLD;0,000312065;0,00029;0,0005;0;0;0;0;0;0;0;0;0
Rồng Đôi/RĐT(cond.);RD-RDT;0,002767766;0,00268;0,00335;0,002504063;0,002595835;0,002438512;0,002297064;0,000737917;0,00120209;0,002261358;0,002320867;0,00246369
HSĐ-HST;HST-HSD;0,015792084;0,01414;0,01475;0,017036444;0,01662757;0,015537238;0,015908743;0,015622099;0,010749151;0,013902235;0,012755659;0,012469015
Thăng Long-Đông Đô;TLDD;0,013973595;0,0125;0,01358;0,01454574;0,01454574;0,012999756;0,012254512;0,012254512;0,010828121;0,012166495;0,010740104;0,010811423
HT-MT;HT-MT;0,014738768;0,01409;0,01686;0,015180541;0,014096216;0,013011892;0,023697085;0,021542804;0,017234244;0,017234244;0,016157103;0,016157103
Thiên Ưng;ThienUng;0,000986803;0,00117;0,00115;0,000598017;0,00049296;0,000622261;0,000435723;0,000379336;0,000179416;0,000363957;0,000169163;0,000502364
Cá Tầm;CT;0,012338;0,01173;0,01426;0,017769148;0,017872457;0,017149294;0,019991913;0,021374333;0,019566554;0,020098253;0,018928514;0,019247534
SV - ĐN;SVDN;0,025437207;0,02284;0,03191;0,033393472;0,033915104;0,035013265;0,038224854;0,036893775;0,021295615;0,03544782;0,033761147;0,034364725
 Algeria;Algeria;0,026374359;0,02452;0,02703;0,024752;0,025722666;0,024752;0,024386324;0,024386324;0,023448389;0,024855291;0,023917356;0,024855291
Nhenhexky;Nhenhexky;0,12431;0,112538;0,1249;0,122585495;0,126039794;0,121977396;0,123536099;0,123698439;0,120982089;0,126243257;0,12213423;0,126055202
