name_on_file;short_name;full_name;desc;unit;conversion_factor
"Lan Tay
(tr.m3)";LT;Lan Tây;Domestic;tr.m3;35,31466672
"RĐ-RĐT
(tr.m3)";RD-RDT;Rồng Đôi -  Rồng Đôi Tây;Domestic;tr.m3;35,31466672
"PM3&46CN
Về bờ (tr.ft3)";PM3-46CN;PM3 - 46CN;Domestic;tr.ft3;35,31466672
"Bach Ho
Wet gas (tr.m3)";BH;Bạch Hổ;Domestic;tr.m3;35,31466672
Rang Dong (tr.ft3);RangDong;Rạng Đông;Domestic;tr.ft3;35,31466672
Cá Ngừ Vàng (tr.ft3);CNV;Cá Ngừ Vàng;Domestic;tr.ft3;35,31466672
"Tê Giác Trắng
(tr. ft3)";TGT;Tê Giác Trắng;Domestic;tr.ft3;35,31466672
"Sư Tử Trắng
(tr.ft3)";STT;Sư Tử Trắng;Domestic;tr.ft3;35,31466672
"Chim Sáo
(tr.ft3)";CS;Chim Sáo;Domestic;tr.ft3;35,31466672
HSĐ-HST (tr,ft3);HST-HSD;Hải Sư Trắng - Hải Sư Đen;Domestic;tr.ft3;35,31466672
Cá Tầm            (tr.m3);CT;Cá Tầm;Domestic;tr.m3;35,31466672
Sao Vàng   (tr.m3);SV;Sao Vàng;Domestic;tr.m3;35,31466672
Hai Thach (tr.m3);HT;Hải Thạch;Domestic;tr.m3;35,31466672
"Thái Bình 
(tr.ft3)";ThaiBinh;Thái Bình;Domestic;tr.ft3;35,31466672
"Đại Hùng 
(tr.m3)";DH;Đại Hùng;Domestic;tr.m3;35,31466672
"Thiên Ưng
(tr.m3)";ThienUng;Thiên Ưng;Domestic;tr.m3;35,31466672
