field_cluster_name;field_cluster_id;01/01/2025;01/02/2025;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025
Bạch Hổ (ẩm);BH;9,94248927;5,067811159;9,710729614;5,763090129;10,21287554;9,2472103;9,563948498;5,090987124;3,816309013;4,449785408;7,539914163;9,594849785
Tê Giác Trắng;TGT;3,77;3,13;3,33;3,13;2,98;2,83;2,81;2,68;1,75;2,97;2,67;2,48
Rạng Đông+Phương Đông;RDPD;1,615178415;1,198685868;0;0,650134708;2,092621091;0,060950129;0;5,841054016;5,576936791;5,851212371;5,648045275;5,810578952
Chim Sáo+Dừa;CS-D;10,477216;8,778208;9,627712;5,66336;9,344544;3,398016;9,627712;12,459392;12,176224;11,609888;11,043552;9,627712
Cụm mỏ Sư Tử;STD-STV-STT-STN;34,41389183;31,0835152;34,41389183;33,30376629;34,41389183;33,30376629;34,41389183;34,41389183;33,30376629;34,41389183;33,30376629;34,41389183
Cá Ngừ Vàng;CNV;3,2;2,8;3;2,7;2,5;1,2;2;2,4;2,1;1,8;2,1;2
Kình Ngư Trắng-Nam;KNT-N;0;0;0;0;0;0;0,223545424;1,680163321;2,407961892;2,829533855;3,332766247;4,526029262
Lan Tây/Lan Đỏ;LTLD;0;0;0;0;0;0;0;0;0;0;0;0
Rồng Đôi/RĐT;RD-RDT;25,70984297;22,10846419;25,10961318;23,60903868;24,50938338;23,00880889;23,90915358;7,602910762;12,40474914;23,50900038;24,10923018;25,60980467
Lô PM3-CA/46-CN (kh phần VN);PM3CA-46CN;89,91657754;74,00213904;89,12085561;86,99893048;81,95935829;86,73368984;85,14224599;44,02994652;86,73368984;87,52941176;88,05989305;91,77326203
HST-HSD;HST-HSD;2,765822785;2,310917722;2,383702532;2,292721519;2,201740506;2,074367089;1,928797468;1,801424051;1,200949367;1,492088608;1,310126582;1,237341772
Hải Thạch+Mộc Tinh;HT-MT;67,75223681;58,86302383;68,42453023;63,56907776;59,53531724;54,23166916;71,18840318;66,1088529;58,63892602;61,47749823;57,66783552;57,59313626
Thái Bình;TB;12,911875;12,911875;12,911875;12,911875;12,911875;12,911875;12,911875;12,911875;12,911875;12,911875;12,911875;12,911875
Đại Hùng ;DH;8,087934086;5,057965554;7,731626388;4,288200558;4,565470626;8,803403366;9,393049699;7,890983682;9,81698427;9,566853228;0;9,797528543
Thiên Ưng;ThienUng;14,28095872;11,2849534;14,28095872;11,48468708;9,687083888;13,28229028;15,17976032;13,7816245;7,390146471;14,28095872;6,591211718;18,47536618
Cá Tầm;CT;0,333180671;0,399816805;0,466452939;0,499771006;0,499771006;0,466452939;0,533089073;0,56640714;0,533089073;0,533089073;0,533089073;0,533089073
SV - ĐN;SVDN;116,4925958;102,7875845;133,1343952;129,2186777;133,1343952;129,2186777;133,1343952;133,1343952;68,52505637;133,1343952;130,1976071;134,1133246
