field_cluster_name;field_cluster_id;01/01/2025;01/02/2025;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025
Bạch Hổ & Rồng;BHR;0,2314;0,2058;0,2346;0,2267;0,2313;0,2269;0,2338;0,23;0,2032;0,2294;0,2176;0,2293
Đồi Mồi;DM;0,003599724;0,003249704;0,003567247;0,003423518;0,003234379;0,003367381;0,003314294;0,003071275;0,003286659;0,003369214;0,003235161;0,003181444
Dinh Cố (cond.);DC;0,003203056;0,00363013;0,004350817;0,003443285;0,003452182;0,003736898;0,003532258;0,004324623;0,002631172;0,003483786;0,003808851;0,003283132
Đại Hùng;DH;0,025157046;0,021709127;0,024007739;0,01379168;0,010982264;0,039076427;0,041885843;0,044056756;0,043929055;0,042779748;0,046099968;0,042524347
Lô PM3-CA/46-CN;PM3CA-46CN;0;0;0;0;0;0;0;0;0;0;0;0
Lô PM3-CA (50%);PM3CA;0,035021944;0,031269592;0,03377116;0,030018809;0,03377116;0,032520376;0,036272727;0,017510972;0,028768025;0,036272727;0,03377116;0,035021944
Lô 46-CN;46CN;0,002501567;0,001250784;0,001250784;0,001250784;0,001250784;0,001250784;0,001250784;0,001250784;0;0,001250784;0,001250784;0,001250784
Rạng Đông/PĐông;RDPD;0,035133218;0,030969281;0,033701864;0,032921127;0,03435248;0,033181373;0,030969281;0,034092234;0,032530757;0,034872973;0,033181373;0,033962111
RuBy/Pearl/Topaz;RPT;0,026852928;0,023937337;0,026151176;0,024956522;0,025425635;0,025252979;0,025792434;0,021434332;0,022786295;0,024484082;0,023401719;0,023879401
STD/STV/STT/STN;STD-STV-STT-STN;0,098824809;0,097524483;0,104026116;0,100125136;0,105326442;0,100125136;0,100125136;0,098824809;0,09492383;0,100125136;0,096224157;0,098824809
Cá Ngừ Vàng;CNV;0,012737;0,011214218;0,012279154;0,011582721;0,01133927;0,007399517;0,010127393;0,011100044;0,009775529;0,009945253;0,010212128;0,010287774
Tê Giác Trắng;TGT;0,038089708;0,033029051;0,035897017;0,034253878;0,03418154;0,032894092;0,033421691;0,032659444;0,02322528;0,034241642;0,032168793;0,031937863
Kinh Ngư Trắng - Nam;KNT-N;0;0;0;0;0;0;0,006326898;0,014752131;0,016246299;0,017692929;0,019066144;0,022915599
Chim Sáo;CS;0,028527897;0,024806867;0,02604721;0,017364807;0,024806867;0,01116309;0,027287554;0,027287554;0,02604721;0,02604721;0,024806867;0,024806867
Lan Tây/Lan Đỏ (cond.);LTLD;0;0;0;0;0;0;0;0;0;0;0;0
Rồng Đôi/RĐT(cond.);RD-RDT;0,002165641;0,001863701;0,002113582;0,001988642;0,002061524;0,001936583;0,002009465;0,000645528;0,001051585;0,00197823;0,002030288;0,00215523
HST-HSD;HST-HSD;0,012490698;0,01067907;0,011251163;0,011918604;0,011632558;0,010869768;0,010583721;0,010393023;0,007151163;0,009248837;0,008486047;0,008295349
Thăng Long-Đông Đô;TLDD;0,011760156;0,010453472;0,011760156;0,011760156;0,011760156;0,010453472;0,011760156;0,011760156;0,010453472;0,011760156;0,010453472;0,010453472
HT-MT;HT-MT;0,009359951;0,008691383;0,010028519;0,009359951;0,008691383;0,008022815;0,014708494;0,013371358;0,010697086;0,010697086;0,010028519;0,010028519
Thiên Ưng;ThienUng;0,0009856;0,0007744;0,000925257;0,000744229;0,000613486;0,0007744;0,000854857;0,000744229;0,000352;0,000714057;0,000331886;0,0009856
Cá Tầm;CT;0,008575807;0,010216396;0,011782413;0,012826424;0,012900997;0,012378991;0,01401958;0,014989019;0,013721291;0,014094152;0,013273858;0,013497574
SV - ĐN;SVDN;0,020319995;0,017887529;0,026431351;0,025100691;0,025492783;0,026318232;0,028062824;0,027085611;0,015634202;0,026024061;0,024785788;0,025228905
Bir Seba (Algeria);Algeria;0,018985209;0,016875742;0,018633631;0,017930475;0,018633631;0,017930475;0,018282053;0,018282053;0,017578897;0,018633631;0,017930475;0,018633631
Nhenhexky;Nhenhexky;0,099887225;0,090982409;0,101148783;0,098762351;0,101545346;0,09827243;0,101014449;0,101147194;0,098926056;0,10322807;0,099868152;0,103074299
