DATE;" Lan Tay
(tr.m3) ";"RĐ-RĐT
(tr.m3)";"PM3&46CN
Về bờ (tr.ft3)";"Bach Ho
Wet gas (tr.m3)";Rang Dong (tr.ft3);Cá Ngừ Vàng (tr.ft3);"Tê Giác Trắng
(tr. ft3)";"Sư Tử Trắng
(tr.ft3)";"Chim Sáo
(tr.ft3)";HSĐ-HST (tr,ft3);Cá Tầm            (tr.m3);Sao Vàng   (tr.m3);Hai Thach (tr.m3);"Thái Bình 
(tr.ft3)";"Đại Hùng 
(tr.m3)";"Thiên Ưng
(tr.m3)"
DATE;LT;RD-RDT;PM3-46CN;BH;RangDong;CNV;TGT;STT;CS;HST-HSD;CT;SV;HT;ThaiBinh;DH;ThienUng
1/1/2025;0,356000;0,845000;168,162110;0,417000;12,770000;3,170000;6,220000;10,000000;1,428643;1,400000;0,000000;4,333000;0,528840;10,379728;0,250000;0,346228
1/2/2025;0,364000;1,143000;174,800036;0,417000;12,550000;2,470000;6,490000;10,000000;9,320781;1,500000;0,000000;3,838000;1,788960;11,994207;0,346000;0,488380
1/3/2025;0,561000;2,000000;212,817960;0,417000;12,230000;2,490000;6,640000;13,000000;14,104226;1,200000;0,000000;4,954000;1,802550;12,180749;0,342000;0,487286
1/4/2025;0,468000;1,433000;202,492963;0,417000;12,490000;2,530000;6,450000;41,000000;13,162862;1,400000;0,000000;4,954000;1,801900;12,785645;0,339000;0,485908
1/5/2025;0,358000;0,940000;193,427827;0,417000;11,400000;2,470000;6,290000;36,000000;4,678222;1,600000;0,010000;4,940000;2,087680;13,212437;0,333000;0,481991
1/6/2025;0,248000;0,590000;193,093647;0,417000;13,630000;2,480000;3,710000;41,000000;1,052591;1,100000;0,010000;4,958000;2,901480;13,100716;0,334000;0,481462
1/7/2025;0,298000;0,708000;192,955346;0,417000;10,970000;2,610000;6,400000;33,000000;6,584609;1,300000;0,010000;4,948000;2,530940;13,096020;0,350000;0,479486
1/8/2025;0,589000;1,831000;202,160032;0,417000;9,840000;2,610000;6,400000;26,000000;9,811943;1,500000;0,010000;4,937000;2,261210;13,313071;0,357000;0,477375
1/9/2025;0,585000;1,766000;129,358891;0,417000;9,800000;2,750000;6,270000;40,000000;10,871243;1,600000;0,010000;4,934000;2,647760;13,205940;0,364000;0,475238
1/10/2025;0,347000;0,874000;213,836354;0,417000;9,950000;2,750000;6,270000;40,000000;7,459944;1,500000;0,010000;4,945000;3,346650;13,811754;0,334000;0,462172
1/11/2025;0,474000;1,244000;173,063491;0,417000;10,840000;2,590000;6,540000;40,000000;10,365957;1,500000;0,010000;4,935000;2,316360;13,055661;0,000000;0,313305
1/12/2025;0,484000;1,271000;154,084366;0,417000;13,740000;2,350000;0,780000;40,000000;10,997300;0,200000;0,010000;4,935000;2,155860;11,331367;0,000000;0,312459
1/13/2025;0,338000;0,819000;150,663180;0,417000;14,100000;2,450000;0,000000;41,000000;7,607893;0,000000;0,010000;4,938000;3,063040;12,431945;0,000000;0,317445
1/14/2025;0,416000;1,022000;157,564519;0,417000;12,550000;2,840000;1,910000;41,000000;9,560536;0,500000;0,010000;4,980000;3,159130;14,010019;0,000000;0,328249
1/15/2025;0,283000;0,677000;153,260936;0,417000;12,270000;3,480000;6,280000;40,000000;6,277765;1,300000;0,010000;4,942000;3,044140;14,153660;0,000000;0,329415
1/16/2025;0,181000;0,432000;160,702519;0,417000;9,190000;3,250000;6,480000;41,000000;4,011922;1,300000;0,010000;4,952000;3,024780;13,297393;0,000000;0,327660
1/17/2025;0,181000;0,423000;182,764207;0,417000;8,430000;2,610000;6,400000;41,000000;9,145290;1,300000;0,010000;4,953000;1,889250;13,116182;0,000000;0,314357
1/18/2025;0,409000;0,985000;193,093794;0,417000;7,440000;2,610000;6,400000;10,000000;8,309855;1,300000;0,010000;4,953000;1,914780;10,931023;0,000000;0,302181
1/19/2025;0,362000;0,895000;185,628288;0,417000;10,370000;2,630000;6,690000;10,000000;5,838862;1,020000;0,010000;4,953000;1,793480;10,088844;0,000000;0,316541
1/20/2025;0,408000;0,985000;181,597918;0,417000;10,340000;4,360000;4,290000;10,000000;9,267110;1,300000;0,010000;4,954000;1,942980;10,100072;0,000000;0,317876
1/21/2025;0,369000;0,894000;184,701314;0,417000;7,820000;12,610000;4,290000;10,000000;8,114238;1,020000;0,010000;4,954000;2,011140;9,798031;0,000000;0,285282
1/22/2025;0,290000;0,690000;184,455413;0,417000;6,410000;13,100000;6,660000;10,000000;8,640000;1,390000;0,010000;4,284000;1,983460;9,627660;0,327000;0,326019
1/23/2025;0,442000;1,085000;188,455413;0,417000;3,350000;12,750000;6,660000;10,000000;8,800000;1,060000;0,010000;0,999000;2,148000;9,627660;0,426000;0,326019
1/24/2025;0,475680;1,190480;181,164764;0,417000;2,850000;11,870000;6,690000;10,000000;8,810000;1,300000;0,010000;0,978902;2,222890;6,902681;0,431299;0,472063
1/25/2025;0,458920;1,146120;158,640415;0,417000;3,020000;11,510000;6,830000;10,000000;8,730000;1,000000;0,010000;0,955501;2,167440;5,861742;0,517821;0,498584
1/26/2025;0,415910;1,012280;113,376173;0,417000;3,780000;10,870000;6,790000;10,000000;8,970000;1,200000;0,010000;0,954862;2,068520;4,750749;0,513553;0,518606
1/27/2025;0,227770;0,540950;106,111847;0,417000;3,530000;10,350000;6,600000;10,000000;8,650000;1,200000;0,010000;1,498932;2,008730;3,925448;0,497962;0,520244
1/28/2025;0,200140;0,475340;100,550168;0,417000;3,660000;10,090000;6,620000;10,000000;8,600000;1,300000;0,010000;2,564501;2,003530;4,344542;0,479781;0,521139
1/29/2025;0,343080;0,814820;98,304452;0,417000;3,710000;10,090000;6,640000;10,000000;8,500000;1,100000;0,010000;0,001767;1,993570;4,091511;0,098148;0,018042
1/30/2025;0,323320;0,767900;98,905782;0,417000;2,380000;9,350000;6,800000;10,000000;8,740000;1,300000;0,010000;0,280468;1,989900;3,607058;0,000000;0,000000
1/31/2025;0,344970;0,826580;102,248579;0,417000;2,620000;9,000000;6,760000;10,000000;8,820000;1,000000;0,010000;1,351900;1,995290;3,620440;0,360749;0,372808
2/1/2025;0,175000;0,416190;92,229720;0,510000;4,730000;8,800000;6,730000;10,000000;8,740000;1,400000;0,013000;1,326000;1,995000;3,213210;0,360000;0,513000
2/2/2025;0,370000;0,906290;137,991480;0,476000;7,190000;8,460000;6,830000;10,000000;8,740000;1,000000;0,013000;0,990000;1,999900;3,354450;0,333000;0,514000
2/3/2025;0,485000;1,240510;142,581780;0,476000;5,940000;8,110000;6,810000;10,000000;8,740000;1,000000;0,013000;0,998000;1,999900;4,202449;0,329000;0,511000
2/4/2025;0,474000;1,207000;171,889080;0,459000;2,630000;7,880000;6,590000;10,000000;8,740000;1,100000;0,013000;1,161500;2,000000;7,557346;0,330000;0,504000
2/5/2025;0,383000;0,911000;196,817940;0,474000;2,640000;7,520000;6,370000;10,000000;8,740000;1,100000;0,013000;1,824000;1,744000;7,981122;0,331000;0,502000
2/6/2025;0,384000;0,911000;207,022530;0,440000;2,640000;7,120000;6,330000;10,000000;8,740000;1,500000;0,013000;1,824000;1,744000;8,051752;0,332000;0,504000
2/7/2025;0,385400;0,929000;210,412290;0,404000;0,387000;7,120000;6,550000;10,000000;8,740000;1,100000;0,013000;1,631000;1,998000;8,510843;0,336000;0,506000
2/8/2025;0,497980;1,327000;208,329000;0,429000;1,790000;6,540000;6,330000;10,000000;8,740000;1,100000;0,013000;0,944000;2,000000;9,005249;0,344000;0,506000
2/9/2025;0,498090;1,334000;197,100420;0,440000;3,170000;6,470000;6,330000;10,000000;8,740000;1,500000;0,013000;0,939000;2,022000;8,934619;0,342000;0,506000
2/10/2025;0,570000;1,622000;210,306360;0,417000;4,190000;6,470000;6,330000;14,000000;8,740000;1,100000;0,013000;2,283000;2,049000;9,640913;0,335000;0,506000
2/11/2025;0,351000;0,892000;215,108520;0,430000;1,450000;1,760000;6,700000;35,000000;8,740000;1,300000;0,013000;4,922000;2,078000;9,958745;0,335000;0,506000
2/12/2025;0,385000;0,963000;206,881290;0,449000;2,340000;1,380000;6,740000;48,000000;8,740000;1,300000;0,013000;4,922000;2,622000;10,912242;0,325000;0,506000
2/13/2025;0,470000;1,269000;210,659460;0,476000;2,780000;1,700000;6,880000;51,000000;8,740000;1,300000;0,013000;4,950000;2,998000;12,148257;0,319000;0,491000
2/14/2025;0,470000;1,269000;202,396920;0,478000;2,580000;1,750000;6,830000;50,000000;8,740000;1,300000;0,013000;4,953000;3,139000;12,148257;0,319000;0,491000
2/15/2025;0,460000;1,245000;213,519570;0,449000;2,900000;1,820000;6,780000;50,000000;8,740000;1,300000;0,013000;4,951000;3,274000;12,148257;0,322000;0,484000
2/16/2025;0,254000;0,604000;210,129810;0,133000;3,110000;1,610000;6,600000;16,000000;8,740000;1,300000;0,013000;4,947000;1,741000;13,313642;0,335000;0,485000
2/17/2025;0,139000;0,300000;212,495580;0,391000;3,110000;1,610000;6,600000;10,000000;8,740000;1,300000;0,013000;4,954000;3,336000;10,629725;0,335000;0,485000
2/18/2025;0,215000;0,545000;212,530890;0,347000;3,890000;1,660000;6,290000;10,000000;8,740000;1,300000;0,013000;4,957000;3,374000;11,795110;0,345000;0,488000
2/19/2025;0,375000;0,899000;211,118490;0,328000;3,890000;1,660000;6,290000;10,000000;8,740000;1,300000;0,013000;4,961000;3,343000;13,172383;0,339000;0,488000
2/20/2025;0,424000;1,030000;197,983170;0,375000;4,160000;1,870000;6,650000;10,000000;8,740000;1,300000;0,013000;4,953000;3,390000;13,172383;0,339000;0,488000
2/21/2025;0,625000;1,630000;202,149750;0,400000;5,200000;1,730000;0,790000;10,000000;8,340000;0,100000;0,013000;4,952000;2,266000;14,267139;0,339000;0,488000
2/22/2025;0,524000;0,514000;206,881290;0,437000;5,400000;1,690000;0,000000;10,000000;8,510000;0,000000;0,013000;4,953000;3,467000;14,125880;0,339000;0,489000
2/23/2025;0,000000;0,000000;167,687190;0,371000;4,730000;1,470000;0,000000;10,000000;8,500000;0,000000;0,013000;4,952000;2,000000;13,808048;0,339000;0,488000
2/24/2025;0,369000;0,888000;171,924390;0,244000;4,730000;1,740000;0,000000;10,000000;8,500000;0,000000;0,013000;4,953000;2,544000;14,867489;0,339000;0,489000
2/25/2025;0,407000;0,968000;189,861870;0,214000;3,810000;1,690000;1,080000;2,500000;8,500000;0,100000;0,013000;4,953000;2,996000;14,408398;0,328000;0,491000
2/26/2025;0,620000;1,516000;190,779930;0,201000;3,490000;1,270000;6,130000;3,370000;8,500000;0,100000;0,013000;4,953000;2,543000;14,938118;0,318000;0,492000
2/27/2025;0,444000;1,197000;194,805270;0,034000;3,590000;1,580000;2,210000;36,000000;8,500000;0,100000;0,013000;4,953000;2,752000;11,759795;0,319000;0,490000
2/28/2025;0,044000;1,270000;197,806620;0,225000;3,590000;1,470000;6,390000;27,000000;8,500000;0,100000;0,013000;4,953000;3,077000;15,538468;0,328000;0,491000
3/1/2025;0,021000;1,079000;202,785330;0,138000;3,590000;1,470000;6,390000;22,000000;8,110000;1,200000;0,014100;4,954000;3,013000;12,995810;0,328000;0,491000
3/2/2025;0,000000;0,148000;146,006850;0,364000;3,640000;1,670000;6,600000;37,000000;8,140000;1,300000;0,014100;4,953000;2,559000;11,901054;0,334000;0,491000
3/3/2025;0,001082;0,529000;204,127110;0,408000;5,470000;1,580000;6,340000;51,000000;7,920000;1,100000;0,014100;4,955000;2,670000;11,901054;0,334000;0,491000
3/4/2025;0,000000;0,705000;206,139780;0,132000;7,300000;1,810000;6,410000;46,000000;7,970000;1,100000;0,014100;4,948000;3,203000;12,607348;0,340000;0,491000
3/5/2025;0,019000;0,445000;168,534630;0,089000;7,840000;5,160000;6,770000;50,000000;8,090000;1,200000;0,014100;4,952000;3,268000;12,148257;0,340000;0,481000
3/6/2025;0,198000;0,878000;203,032500;0,284000;6,490000;13,220000;6,580000;50,000000;8,080000;0,900000;0,014100;4,955000;3,382000;12,466089;0,343000;0,481000
3/7/2025;0,317000;1,285000;203,279670;0,131000;5,130000;1,450000;6,580000;25,000000;7,810000;1,000000;0,014100;4,844000;3,355000;12,995810;0,340000;0,486000
3/8/2025;0,098000;0,374000;201,973200;0,372000;3,340000;1,270000;6,580000;10,000000;6,570000;1,100000;0,014100;4,955000;3,180000;11,336019;0,340000;0,488000
