name_on_file;short_name;full_name;;;;;;;
Bạch Hổ (ẩm);BH;Bạch Hổ;;;;;;;
Tê Giác Trắng;TGT;Tê Giác Trắng;;;;;;;
Rạng Đông;RangDong;Rạng Đông;;;;;;;
Rạng Đông+Phương Đông;RDPD;Rạng Đông - Phương Đông;;;;;;;
Chim Sáo;CS;Chim Sáo;;;;;;;
Chim Sáo+Dừa;CS-D;Chim Sáo - Dừa;;;;;;;
Sư Tử Đen/Vàng/Trắng;STD-STV-STT;Sư Tử Đen - Vàng - Trắng;;;;;;;
Cụm mỏ Sư Tử;STD-STV-STT-STN;Sư Tử Đen - Vàng - Trắng - Nâu;;;;;;;
Cá Ngừ Vàng;CNV;Cá Ngừ Vàng;;;;;;;
Lan Tây/Lan Đỏ;LTLD;Lan Tây - Lan Đỏ;;;;;;;
Rồng Đôi/RĐT;RD-RDT;Rồng Đôi - Rồng Đôi Tây;;;;;;;
Lô PM3-CA/46-CN;PM3CA-46CN;PM3CA - 46CN;;;;;;;
HST-HSD;HST-HSD;Hải Sư Trắng - Hải Sư Đen;;;;;;;
HT-MT;HT-MT;Hải Thạch - Mộc Tinh;;;;;;;
Thái Bình;TB;Thái Bình;;;;;;;
Đại Hùng;DH;Đại Hùng;;;;;;;
Thiên Ưng;ThienUng;Thiên Ưng;;;;;;;
Cá Tầm;CT;Cá Tầm;;;;;;;
SV - ĐN;SVDN;Sao Vàng - Đại Nguyệt;;;;;;;
Kình Ngư Trắng-Nam;KNT-N;Kình Ngư Trắng Nam;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
