name_on_file;short_name;full_name
Bạch Hổ & Rồng;BHR;Bạch Hổ - Rồng
Đồi Mồi;DM;Đồi Mồi
Dinh Cố (cond.);DC;Dinh Cố
Đại Hùng;DH;Đại Hùng
Lô PM3-CA/46-CN;PM3CA-46CN;PM3CA - 46CN
Lô PM3-CA (50%);PM3CA;PM3CA
Lô 46-CN;46CN;46CN
Rạng Đông/PĐông;RDPD;Rạng Đông - Phương Đông
RuBy/Pearl/Topaz;RPT;Ruby - Pearl - Topaz
Sư Tử Đen/Vàng/Trắng/Nâu;STD-STV-STT-STN;Sư Tử Đen - Vàng - Trắng - Nâu
Cá Ngừ Vàng;CNV;Cá Ngừ Vàng
Tê Giác Trắng;TGT;Tê Giác Trắng
Kinh ngư trắng -Nam;KNT-N;Kình Ngư Trắng Nam
Chim Sáo;CS;Chim Sáo
Lan Tây/Lan Đỏ(cond.);LTLD;Lan Tây - Lan Đỏ
Rồng Đôi/RĐT(cond.);RD-RDT;Rồng Đôi - Rồng Đôi Tây
HSĐ-HST;HST-HSD;Hải Sư Trắng - Hải Sư Đen
Thăng Long-Đông Đô;TLDD;Thăng Long - Đông Đô
HT-MT;HT-MT;Hải Thạch - Mộc Tinh
Thiên Ưng;ThienUng;Thiên Ưng
Cá Tầm;CT;Cá Tầm
SV - ĐN;SVDN;Sao Vàng - Đại Nguyệt
 Algeria;Algeria;Algeria
Nhenhexky;Nhenhexky;Nhenhexky
