report_date,field_id,prod_type,prod_ton,prod_bbls,prod_m3,prod_ft3
01/01/2025,LT,GAS_PROD,,,0.356,12.572021
02/01/2025,LT,GAS_PROD,,,0.364,12.854539
03/01/2025,LT,GAS_PROD,,,0.561,19.811528
04/01/2025,LT,GAS_PROD,,,0.468,16.527264
05/01/2025,LT,GAS_PROD,,,0.358,12.642651
06/01/2025,LT,GAS_PROD,,,0.248,8.758037
07/01/2025,LT,GAS_PROD,,,0.298,10.523771
08/01/2025,LT,GAS_PROD,,,0.589,20.800339
09/01/2025,LT,GAS_PROD,,,0.585,20.65908
10/01/2025,LT,GAS_PROD,,,0.347,12.254189
11/01/2025,LT,GAS_PROD,,,0.474,16.739152
12/01/2025,LT,GAS_PROD,,,0.484,17.092299
13/01/2025,LT,GAS_PROD,,,0.338,11.936357
14/01/2025,LT,GAS_PROD,,,0.416,14.690901
15/01/2025,LT,GAS_PROD,,,0.283,9.994051
16/01/2025,LT,GAS_PROD,,,0.181,6.391955
17/01/2025,LT,GAS_PROD,,,0.181,6.391955
18/01/2025,LT,GAS_PROD,,,0.409,14.443699
19/01/2025,LT,GAS_PROD,,,0.362,12.783909
20/01/2025,LT,GAS_PROD,,,0.408,14.408384
21/01/2025,LT,GAS_PROD,,,0.369,13.031112
22/01/2025,LT,GAS_PROD,,,0.29,10.241253
23/01/2025,LT,GAS_PROD,,,0.442,15.609083
24/01/2025,LT,GAS_PROD,,,0.47568,16.798481
25/01/2025,LT,GAS_PROD,,,0.45892,16.206607
26/01/2025,LT,GAS_PROD,,,0.41591,14.687723
27/01/2025,LT,GAS_PROD,,,0.22777,8.043622
28/01/2025,LT,GAS_PROD,,,0.20014,7.067877
29/01/2025,LT,GAS_PROD,,,0.34308,12.115756
30/01/2025,LT,GAS_PROD,,,0.32332,11.417938
31/01/2025,LT,GAS_PROD,,,0.34497,12.182501
01/02/2025,LT,GAS_PROD,,,0.175,6.180067
02/02/2025,LT,GAS_PROD,,,0.37,13.066427
03/02/2025,LT,GAS_PROD,,,0.485,17.127613
04/02/2025,LT,GAS_PROD,,,0.474,16.739152
05/02/2025,LT,GAS_PROD,,,0.383,13.525517
06/02/2025,LT,GAS_PROD,,,0.384,13.560832
07/02/2025,LT,GAS_PROD,,,0.3854,13.610273
08/02/2025,LT,GAS_PROD,,,0.49798,17.585998
09/02/2025,LT,GAS_PROD,,,0.49809,17.589882
10/02/2025,LT,GAS_PROD,,,0.57,20.12936
11/02/2025,LT,GAS_PROD,,,0.351,12.395448
12/02/2025,LT,GAS_PROD,,,0.385,13.596147
13/02/2025,LT,GAS_PROD,,,0.47,16.597893
14/02/2025,LT,GAS_PROD,,,0.47,16.597893
15/02/2025,LT,GAS_PROD,,,0.46,16.244747
16/02/2025,LT,GAS_PROD,,,0.254,8.969925
17/02/2025,LT,GAS_PROD,,,0.139,4.908739
18/02/2025,LT,GAS_PROD,,,0.215,7.592653
19/02/2025,LT,GAS_PROD,,,0.375,13.243
20/02/2025,LT,GAS_PROD,,,0.424,14.973419
21/02/2025,LT,GAS_PROD,,,0.625,22.071667
22/02/2025,LT,GAS_PROD,,,0.524,18.504885
23/02/2025,LT,GAS_PROD,,,0.0,0.0
24/02/2025,LT,GAS_PROD,,,0.369,13.031112
25/02/2025,LT,GAS_PROD,,,0.407,14.373069
26/02/2025,LT,GAS_PROD,,,0.62,21.895093
27/02/2025,LT,GAS_PROD,,,0.444,15.679712
28/02/2025,LT,GAS_PROD,,,0.044,1.553845
01/03/2025,LT,GAS_PROD,,,0.021,0.741608
02/03/2025,LT,GAS_PROD,,,0.0,0.0
03/03/2025,LT,GAS_PROD,,,0.001082,0.03821
04/03/2025,LT,GAS_PROD,,,0.0,0.0
05/03/2025,LT,GAS_PROD,,,0.019,0.670979
06/03/2025,LT,GAS_PROD,,,0.198,6.992304
07/03/2025,LT,GAS_PROD,,,0.317,11.194749
08/03/2025,LT,GAS_PROD,,,0.098,3.460837
09/03/2025,LT,GAS_PROD,,,0.176,6.215381
10/03/2025,LT,GAS_PROD,,,0.386,13.631461
11/03/2025,LT,GAS_PROD,,,0.235,8.298947
12/03/2025,LT,GAS_PROD,,,0.384,13.560832
13/03/2025,LT,GAS_PROD,,,0.542,19.140549
14/03/2025,LT,GAS_PROD,,,0.469,16.562579
15/03/2025,LT,GAS_PROD,,,0.446,15.750341
16/03/2025,LT,GAS_PROD,,,0.089,3.143005
17/03/2025,LT,GAS_PROD,,,0.38,13.419573
18/03/2025,LT,GAS_PROD,,,0.395,13.949293
19/03/2025,LT,GAS_PROD,,,0.499,17.622019
20/03/2025,LT,GAS_PROD,,,0.432,15.255936
21/03/2025,LT,GAS_PROD,,,0.393,13.878664
22/03/2025,LT,GAS_PROD,,,0.298,10.523771
23/03/2025,LT,GAS_PROD,,,0.192,6.780416
24/03/2025,LT,GAS_PROD,,,0.428,15.114677
25/03/2025,LT,GAS_PROD,,,0.44589,15.746457
26/03/2025,LT,GAS_PROD,,,0.36174,12.774728
27/03/2025,LT,GAS_PROD,,,0.14324,5.058473
28/03/2025,LT,GAS_PROD,,,0.27146,9.586519
29/03/2025,LT,GAS_PROD,,,0.29628,10.463029
30/03/2025,LT,GAS_PROD,,,0.09863,3.483086
31/03/2025,LT,GAS_PROD,,,0.3943,13.924573
01/04/2025,LT,GAS_PROD,,,0.418,14.761531
02/04/2025,LT,GAS_PROD,,,0.577,20.376563
03/04/2025,LT,GAS_PROD,,,0.219,7.733912
04/04/2025,LT,GAS_PROD,,,0.4,14.125867
05/04/2025,LT,GAS_PROD,,,0.361,12.748595
06/04/2025,LT,GAS_PROD,,,0.515,18.187053
07/04/2025,LT,GAS_PROD,,,0.381,13.454888
08/04/2025,LT,GAS_PROD,,,0.469,16.562579
09/04/2025,LT,GAS_PROD,,,0.42,14.83216
10/04/2025,LT,GAS_PROD,,,0.424,14.973419
11/04/2025,LT,GAS_PROD,,,0.324,11.441952
12/04/2025,LT,GAS_PROD,,,0.171,6.038808
13/04/2025,LT,GAS_PROD,,,0.362,12.783909
14/04/2025,LT,GAS_PROD,,,0.292,10.311883
15/04/2025,LT,GAS_PROD,,,0.355,12.536707
16/04/2025,LT,GAS_PROD,,,0.375,13.243
17/04/2025,LT,GAS_PROD,,,0.359,12.677965
18/04/2025,LT,GAS_PROD,,,0.371,13.101741
19/04/2025,LT,GAS_PROD,,,0.126,4.449648
20/04/2025,LT,GAS_PROD,,,0.0,0.0
21/04/2025,LT,GAS_PROD,,,0.507,17.904536
22/04/2025,LT,GAS_PROD,,,0.458,16.174117
23/04/2025,LT,GAS_PROD,,,0.419,14.796845
24/04/2025,LT,GAS_PROD,,,0.222,7.839856
25/04/2025,LT,GAS_PROD,,,0.343,12.112931
26/04/2025,LT,GAS_PROD,,,0.325,11.477267
27/04/2025,LT,GAS_PROD,,,0.286,10.099995
28/04/2025,LT,GAS_PROD,,,0.366,12.925168
29/04/2025,LT,GAS_PROD,,,0.399,14.090552
30/04/2025,LT,GAS_PROD,,,0.237,8.369576
01/05/2025,LT,GAS_PROD,,,0.076,2.683915
