report_date,field_id,plan_type,prod_ton,prod_bbls,prod_m3,prod_ft3
01/01/2025,BH,KHQTGAS,,,12.927,456.512697
01/02/2025,BH,KHQTGAS,,,10.316,364.306102
01/03/2025,BH,KHQTGAS,,,8.09,285.695654
01/04/2025,BH,KHQTGAS,,,8.004447574,282.674398
01/05/2025,BH,KHQTGAS,,,14.18482533,500.932379
01/06/2025,BH,KHQTGAS,,,12.84359751,453.567366
01/07/2025,BH,KHQTGAS,,,13.28352024,469.10309
01/08/2025,BH,KHQTGAS,,,7.070953018,249.708349
01/09/2025,BH,KHQTGAS,,,5.300532308,187.186532
01/10/2025,BH,KHQTGAS,,,6.180377751,218.25798
01/11/2025,BH,KHQTGAS,,,10.47230675,369.826023
01/12/2025,BH,KHQTGAS,,,13.32643953,470.618771
01/01/2025,TGT,KHQTGAS,,,5.047477905,178.25
01/02/2025,TGT,KHQTGAS,,,4.2,148.3216
01/03/2025,TGT,KHQTGAS,,,5.98,211.181707
01/04/2025,TGT,KHQTGAS,,,2.486291941,87.802571
01/05/2025,TGT,KHQTGAS,,,2.36714057,83.59478
01/06/2025,TGT,KHQTGAS,,,2.247989199,79.386989
01/07/2025,TGT,KHQTGAS,,,2.232102349,78.825951
01/08/2025,TGT,KHQTGAS,,,2.128837828,75.179198
01/09/2025,TGT,KHQTGAS,,,1.390099328,49.090894
01/10/2025,TGT,KHQTGAS,,,2.359197145,83.314261
01/11/2025,TGT,KHQTGAS,,,2.120894403,74.898679
01/12/2025,TGT,KHQTGAS,,,1.969969333,69.56881
01/01/2025,RangDong,KHQTGAS,,,7.589764392,268.03
01/02/2025,RangDong,KHQTGAS,,,2.833298719,100.057
01/03/2025,RangDong,KHQTGAS,,,3.9,137.7272
01/04/2025,RangDong,KHQTGAS,,,1.766534781,62.384587
01/05/2025,RangDong,KHQTGAS,,,5.686033827,200.80039
01/06/2025,RangDong,KHQTGAS,,,0.165612636,5.848555
01/07/2025,RangDong,KHQTGAS,,,0.0,0.0
01/08/2025,RangDong,KHQTGAS,,,15.87121092,560.486524
01/09/2025,RangDong,KHQTGAS,,,15.15355617,535.142786
01/10/2025,RangDong,KHQTGAS,,,15.89881303,561.461283
01/11/2025,RangDong,KHQTGAS,,,15.34677091,541.9661
01/12/2025,RangDong,KHQTGAS,,,15.78840461,557.562247
01/01/2025,CS,KHQTGAS,,,7.227359403,255.231789
01/02/2025,CS,KHQTGAS,,,6.871082826,242.65
01/03/2025,CS,KHQTGAS,,,6.94,245.083787
01/04/2025,CS,KHQTGAS,,,6.417437185,226.629655
01/05/2025,CS,KHQTGAS,,,10.58877135,373.938931
01/06/2025,CS,KHQTGAS,,,3.850462311,135.977793
01/07/2025,CS,KHQTGAS,,,10.90964321,385.270414
01/08/2025,CS,KHQTGAS,,,14.11836181,498.585242
01/09/2025,CS,KHQTGAS,,,13.79748995,487.253759
01/10/2025,CS,KHQTGAS,,,13.15574623,464.590794
01/11/2025,CS,KHQTGAS,,,12.51400251,441.927828
01/12/2025,CS,KHQTGAS,,,10.90964321,385.270414
01/01/2025,STD-STV-STT,KHQTGAS,,,20.21822847,714.0
01/02/2025,STD-STV-STT,KHQTGAS,,,14.24,502.880854
01/03/2025,STD-STV-STT,KHQTGAS,,,35.34,1248.020322
01/04/2025,STD-STV-STT,KHQTGAS,,,40.48747922,1429.801835
01/05/2025,STD-STV-STT,KHQTGAS,,,41.88821293,1479.268279
01/06/2025,STD-STV-STT,KHQTGAS,,,40.48747922,1429.801835
01/07/2025,STD-STV-STT,KHQTGAS,,,41.88821293,1479.268279
01/08/2025,STD-STV-STT,KHQTGAS,,,41.88821293,1479.268279
01/09/2025,STD-STV-STT,KHQTGAS,,,40.48747922,1429.801835
01/10/2025,STD-STV-STT,KHQTGAS,,,41.88821293,1479.268279
01/11/2025,STD-STV-STT,KHQTGAS,,,40.48747922,1429.801835
01/12/2025,STD-STV-STT,KHQTGAS,,,41.88821293,1479.268279
01/01/2025,CNV,KHQTGAS,,,5.014630363,177.09
01/02/2025,CNV,KHQTGAS,,,2.94,103.82512
01/03/2025,CNV,KHQTGAS,,,5.28,186.46144
01/04/2025,CNV,KHQTGAS,,,2.407792448,85.030388
01/05/2025,CNV,KHQTGAS,,,2.229437452,78.731841
01/06/2025,CNV,KHQTGAS,,,1.070129977,37.791283
01/07/2025,CNV,KHQTGAS,,,1.783549961,62.985472
01/08/2025,CNV,KHQTGAS,,,2.140259954,75.582567
01/09/2025,CNV,KHQTGAS,,,1.872727459,66.134746
01/10/2025,CNV,KHQTGAS,,,1.605194965,56.686925
01/11/2025,CNV,KHQTGAS,,,1.872727459,66.134746
01/12/2025,CNV,KHQTGAS,,,1.783549961,62.985472
01/01/2025,LTLD,KHQTGAS,,,11.60079,409.678033
01/02/2025,LTLD,KHQTGAS,,,10.8,381.398401
01/03/2025,LTLD,KHQTGAS,,,8.41,296.996347
01/04/2025,LTLD,KHQTGAS,,,0.0,0.0
01/05/2025,LTLD,KHQTGAS,,,0.0,0.0
01/06/2025,LTLD,KHQTGAS,,,0.0,0.0
01/07/2025,LTLD,KHQTGAS,,,0.0,0.0
01/08/2025,LTLD,KHQTGAS,,,0.0,0.0
01/09/2025,LTLD,KHQTGAS,,,0.0,0.0
01/10/2025,LTLD,KHQTGAS,,,0.0,0.0
01/11/2025,LTLD,KHQTGAS,,,0.0,0.0
01/12/2025,LTLD,KHQTGAS,,,0.0,0.0
01/01/2025,RD-RDT,KHQTGAS,,,30.32647,1070.969181
